species,year,day_month,total_observations
Milan noir,2016,18-juil,188
Milan noir,2020,18-juil,79
Milan noir,2017,18-juil,113
Milan noir,2018,18-juil,227
Milan noir,2019,18-juil,183
Milan noir,2016,19-juil,170
Milan noir,2018,19-juil,740
Milan noir,2020,19-juil,429
Milan noir,2017,19-juil,59
Milan noir,2019,19-juil,433
Milan noir,2020,20-juil,704
Milan noir,2018,21-juil,108
Milan noir,2017,21-juil,1
Milan noir,2020,21-juil,550
Milan noir,2019,21-juil,3
Milan noir,2017,22-juil,1118
Milan noir,2018,22-juil,4550
Milan noir,2020,22-juil,928
Milan noir,2019,22-juil,547
Milan noir,2018,23-juil,2123
Milan noir,2016,23-juil,1522
Milan noir,2019,23-juil,193
Milan noir,2020,23-juil,108
Milan noir,2018,24-juil,275
Milan noir,2019,24-juil,266
Milan noir,2016,24-juil,184
Milan noir,2020,24-juil,3453
Milan noir,2017,24-juil,420
Milan noir,2018,25-juil,535
Milan noir,2016,25-juil,1361
Milan noir,2017,25-juil,1516
Milan noir,2019,25-juil,402
Milan noir,2020,25-juil,2627
Milan noir,2016,26-juil,1498
Milan noir,2017,26-juil,1072
Milan noir,2019,26-juil,1
Milan noir,2020,26-juil,1908
Milan noir,2018,26-juil,1187
Milan noir,2017,27-juil,2245
Milan noir,2020,27-juil,1232
Milan noir,2018,27-juil,847
Milan noir,2016,27-juil,4
Milan noir,2017,28-juil,3
Milan noir,2019,28-juil,1062
Milan noir,2016,28-juil,2913
Milan noir,2017,29-juil,10242
Milan noir,2019,29-juil,3065
Milan noir,2018,29-juil,2719
Milan noir,2020,29-juil,15
Milan noir,2016,29-juil,1316
Milan noir,2018,30-juil,2571
Milan noir,2020,30-juil,3678
Milan noir,2016,30-juil,6
Milan noir,2017,30-juil,3
Milan noir,2020,31-juil,1359
Milan noir,2017,31-juil,3
Milan noir,2019,31-juil,1048
Milan noir,2018,31-juil,40
Milan noir,2016,01-août,1253
Milan noir,2018,01-août,246
Milan noir,2019,01-août,1210
Milan noir,2017,02-août,6475
Milan noir,2016,02-août,9516
Milan noir,2018,02-août,5441
Milan noir,2019,02-août,1126
Milan noir,2020,03-août,5948
Milan noir,2016,03-août,4269
Milan noir,2019,03-août,8566
Milan noir,2018,03-août,1683
Milan noir,2017,03-août,2384
Milan noir,2020,04-août,1885
Milan noir,2017,04-août,1574
Milan noir,2018,04-août,1558
Milan noir,2019,04-août,3243
Milan noir,2016,05-août,3928
Milan noir,2019,05-août,4
Milan noir,2018,05-août,1617
Milan noir,2020,05-août,5972
Milan noir,2016,06-août,3936
Milan noir,2018,06-août,5228
Milan noir,2020,06-août,3607
Milan noir,2019,06-août,1234
Milan noir,2017,07-août,7845
Milan noir,2016,07-août,1642
Milan noir,2019,07-août,924
Milan noir,2020,07-août,1744
Milan noir,2018,07-août,44
Milan noir,2017,08-août,560
Milan noir,2018,08-août,788
Milan noir,2019,08-août,7123
Milan noir,2020,08-août,4293
Milan noir,2016,08-août,2874
Milan noir,2018,09-août,7
Milan noir,2017,09-août,396
Milan noir,2019,09-août,4330
Milan noir,2020,09-août,812
Milan noir,2016,09-août,871
Milan noir,2019,10-août,1004
Milan noir,2016,10-août,1230
Milan noir,2017,10-août,380
Milan noir,2020,10-août,4518
Milan noir,2017,11-août,326
Milan noir,2018,11-août,8377
Milan noir,2016,11-août,859
Milan noir,2020,11-août,929
Milan noir,2018,12-août,431
Milan noir,2020,12-août,800
Milan noir,2017,12-août,1520
Milan noir,2016,12-août,821
Milan noir,2019,13-août,2878
Milan noir,2016,13-août,181
Milan noir,2017,13-août,1014
Milan noir,2018,14-août,175
Milan noir,2019,14-août,5419
Milan noir,2017,14-août,203
Milan noir,2020,14-août,831
Milan noir,2016,14-août,327
Milan noir,2017,15-août,146
Milan noir,2020,15-août,9042
Milan noir,2016,15-août,350
Milan noir,2018,15-août,1144
Milan noir,2016,16-août,323
Milan noir,2018,16-août,981
Milan noir,2019,16-août,7753
Milan noir,2018,17-août,2
Milan noir,2020,17-août,1543
Milan noir,2016,17-août,381
Milan noir,2017,17-août,729
Milan noir,2019,17-août,1536
Milan noir,2020,18-août,1502
Milan noir,2018,18-août,451
Milan noir,2017,18-août,9
Milan noir,2019,18-août,348
Milan noir,2020,19-août,2102
Milan noir,2016,19-août,840
Milan noir,2018,19-août,330
Milan noir,2020,20-août,1120
Milan noir,2018,20-août,326
Milan noir,2017,20-août,1462
Milan noir,2019,20-août,2
Milan noir,2016,21-août,477
Milan noir,2020,21-août,447
Milan noir,2018,21-août,197
Milan noir,2017,21-août,199
Milan noir,2019,21-août,172
Milan noir,2019,22-août,644
Milan noir,2018,22-août,162
Milan noir,2017,22-août,93
Milan noir,2016,22-août,140
Milan noir,2017,23-août,2
Milan noir,2016,23-août,169
Milan noir,2019,23-août,539
Milan noir,2020,23-août,1130
Milan noir,2018,24-août,79
Milan noir,2020,24-août,246
Milan noir,2017,24-août,399
Milan noir,2019,24-août,545
Milan noir,2016,24-août,113
Milan noir,2019,25-août,420
Milan noir,2017,25-août,274
Milan noir,2016,25-août,35
Milan noir,2020,25-août,51
Milan noir,2016,26-août,78
Milan noir,2019,26-août,40
Milan noir,2020,26-août,52
Milan noir,2017,26-août,60
Milan noir,2018,26-août,158
Milan noir,2017,27-août,13
Milan noir,2019,27-août,15
Milan noir,2016,27-août,61
Milan noir,2018,27-août,107
Milan noir,2020,27-août,120
Milan noir,2018,28-août,72
Milan noir,2017,28-août,39
Milan noir,2019,28-août,167
Milan noir,2017,29-août,6
Milan noir,2018,29-août,100
Milan noir,2019,29-août,152
Milan noir,2020,29-août,2
Milan noir,2017,30-août,48
Milan noir,2020,30-août,13
Milan noir,2019,30-août,56
Milan noir,2016,30-août,48
Milan noir,2018,31-août,94
Milan noir,2016,31-août,34
Milan noir,2019,31-août,89
Milan noir,2020,31-août,39
Milan noir,2020,01-sept,47
Milan noir,2017,01-sept,55
Milan noir,2018,01-sept,92
Milan noir,2016,01-sept,13
Milan noir,2016,02-sept,37
Milan noir,2020,02-sept,11
Milan noir,2019,02-sept,29
Milan noir,2017,02-sept,1
Milan noir,2018,02-sept,73
Milan noir,2017,03-sept,4
Milan noir,2016,03-sept,121
Milan noir,2018,03-sept,84
Milan noir,2019,03-sept,72
Milan noir,2020,03-sept,19
Milan noir,2018,04-sept,51
Milan noir,2020,04-sept,251
Milan noir,2016,04-sept,8
Milan noir,2019,04-sept,29
Milan noir,2017,04-sept,25
Milan noir,2017,05-sept,28
Milan noir,2016,05-sept,9
Milan noir,2020,05-sept,35
Milan noir,2018,05-sept,10
Milan noir,2019,05-sept,20
Milan noir,2016,06-sept,7
Milan noir,2019,06-sept,19
Milan noir,2017,06-sept,2
Milan noir,2018,06-sept,5
Milan noir,2018,07-sept,2
Milan noir,2017,07-sept,6
Milan noir,2016,07-sept,1
Milan noir,2019,07-sept,5
Milan noir,2020,07-sept,36
Milan noir,2018,08-sept,10
Milan noir,2019,08-sept,8
Milan noir,2020,08-sept,36
Milan noir,2017,08-sept,4
Milan noir,2020,09-sept,488
Milan noir,2019,09-sept,12
Milan noir,2018,09-sept,5
Milan noir,2016,09-sept,2
Milan noir,2020,10-sept,262
Milan noir,2016,10-sept,17
Milan noir,2018,10-sept,5
Milan noir,2019,10-sept,2
Milan noir,2020,11-sept,29
Milan noir,2018,11-sept,4
Milan noir,2016,11-sept,7
Milan noir,2019,11-sept,6
Milan noir,2020,12-sept,7
Milan noir,2016,12-sept,3
Milan noir,2019,12-sept,16
Milan noir,2018,12-sept,1
Milan noir,2017,13-sept,8
Milan noir,2020,13-sept,2
Milan noir,2019,13-sept,8
Milan noir,2018,14-sept,1
Milan noir,2020,14-sept,1
Milan noir,2016,15-sept,2
Milan noir,2018,15-sept,16
Milan noir,2020,15-sept,28
Milan noir,2021,18-juil,792
Milan noir,2022,18-juil,908
Milan noir,2023,18-juil,474
Milan noir,2021,19-juil,271
Milan noir,2022,19-juil,34
Milan noir,2023,20-juil,24
Milan noir,2021,20-juil,141
Milan noir,2022,20-juil,363
Milan noir,2022,21-juil,1337
Milan noir,2021,21-juil,591
Milan noir,2023,22-juil,3734
Milan noir,2021,22-juil,1693
Milan noir,2022,23-juil,252
Milan noir,2023,23-juil,6560
Milan noir,2021,23-juil,80
Milan noir,2022,24-juil,2282
Milan noir,2023,25-juil,159
Milan noir,2021,25-juil,112
Milan noir,2023,26-juil,1026
Milan noir,2022,27-juil,3425
Milan noir,2023,27-juil,1720
Milan noir,2021,27-juil,1543
Milan noir,2022,28-juil,1652
Milan noir,2023,28-juil,1227
Milan noir,2021,29-juil,352
Milan noir,2023,29-juil,2207
Milan noir,2022,30-juil,80
Milan noir,2022,31-juil,4978
Milan noir,2023,31-juil,13175
Milan noir,2022,01-août,1653
Milan noir,2023,01-août,362
Milan noir,2021,01-août,2618
Milan noir,2023,02-août,1007
Milan noir,2022,02-août,1670
Milan noir,2021,02-août,7286
Milan noir,2022,03-août,1951
Milan noir,2021,03-août,263
Milan noir,2023,03-août,138
Milan noir,2021,04-août,120
Milan noir,2022,04-août,3291
Milan noir,2023,05-août,5296
Milan noir,2022,05-août,1295
Milan noir,2021,05-août,1656
Milan noir,2022,06-août,2657
Milan noir,2023,06-août,3714
Milan noir,2023,07-août,6412
Milan noir,2022,07-août,5904
Milan noir,2021,07-août,1177
Milan noir,2023,08-août,4600
Milan noir,2021,08-août,3058
Milan noir,2022,08-août,7200
Milan noir,2021,09-août,5176
Milan noir,2023,09-août,5208
Milan noir,2022,09-août,1193
Milan noir,2021,10-août,2910
Milan noir,2022,10-août,1247
Milan noir,2023,10-août,1865
Milan noir,2022,11-août,511
Milan noir,2023,11-août,4237
Milan noir,2021,11-août,363
Milan noir,2022,12-août,462
Milan noir,2023,12-août,134
Milan noir,2021,12-août,8919
Milan noir,2023,13-août,42
Milan noir,2022,13-août,671
Milan noir,2021,13-août,627
Milan noir,2022,14-août,4
Milan noir,2021,14-août,9885
Milan noir,2023,14-août,8881
Milan noir,2022,15-août,3049
Milan noir,2023,15-août,13
Milan noir,2022,16-août,104
Milan noir,2023,16-août,215
Milan noir,2023,17-août,644
Milan noir,2023,18-août,2147
Milan noir,2021,18-août,16
Milan noir,2022,18-août,72
Milan noir,2022,19-août,407
Milan noir,2021,19-août,3
Milan noir,2023,19-août,475
Milan noir,2022,20-août,304
Milan noir,2021,20-août,3972
Milan noir,2023,20-août,432
Milan noir,2021,21-août,31
Milan noir,2022,21-août,166
Milan noir,2023,21-août,322
Milan noir,2022,22-août,169
Milan noir,2023,22-août,252
Milan noir,2022,23-août,280
Milan noir,2021,23-août,1020
Milan noir,2023,23-août,360
Milan noir,2022,24-août,674
Milan noir,2023,24-août,40
Milan noir,2021,24-août,870
Milan noir,2021,25-août,671
Milan noir,2022,25-août,19
Milan noir,2021,26-août,256
Milan noir,2021,27-août,92
Milan noir,2022,27-août,699
Milan noir,2022,28-août,73
Milan noir,2023,28-août,5
Milan noir,2021,28-août,27
Milan noir,2021,29-août,43
Milan noir,2022,29-août,5
Milan noir,2023,29-août,27
Milan noir,2022,30-août,90
Milan noir,2021,30-août,11
Milan noir,2023,30-août,9
Milan noir,2021,31-août,21
Milan noir,2023,31-août,92
Milan noir,2022,31-août,2
Milan noir,2021,01-sept,1
Milan noir,2023,01-sept,57
Milan noir,2022,01-sept,66
Milan noir,2022,02-sept,9
Milan noir,2021,02-sept,67
Milan noir,2023,03-sept,54
Milan noir,2022,03-sept,120
Milan noir,2021,03-sept,211
Milan noir,2023,04-sept,39
Milan noir,2021,04-sept,142
Milan noir,2022,04-sept,13
Milan noir,2022,05-sept,11
Milan noir,2021,05-sept,37
Milan noir,2023,05-sept,56
Milan noir,2022,06-sept,10
Milan noir,2021,06-sept,22
Milan noir,2023,06-sept,446
Milan noir,2021,07-sept,110
Milan noir,2023,07-sept,379
Milan noir,2022,07-sept,5
Milan noir,2021,08-sept,33
Milan noir,2022,08-sept,20
Milan noir,2023,08-sept,80
Milan noir,2023,09-sept,44
Milan noir,2022,10-sept,5
Milan noir,2023,10-sept,39
Milan noir,2021,11-sept,9
Milan noir,2022,11-sept,29
Milan noir,2023,11-sept,10
Milan noir,2021,12-sept,18
Milan noir,2022,12-sept,11
Milan noir,2022,13-sept,8
Milan noir,2021,13-sept,8
Milan noir,2023,13-sept,30
Milan noir,2023,14-sept,11
Milan noir,2021,14-sept,5
Milan noir,2022,14-sept,6
Milan noir,2023,15-sept,2
Milan noir,2021,15-sept,120
Milan noir,2022,15-sept,2
Milan noir,2021,16-sept,6
Milan noir,2023,16-sept,2
Milan noir,2022,17-sept,4
Milan noir,2021,17-sept,20
Milan noir,2023,17-sept,7
Milan noir,2022,18-sept,3
Milan noir,2023,18-sept,2
Milan noir,2023,19-sept,7
Milan noir,2021,19-sept,4
Milan noir,2022,19-sept,1
Milan noir,2022,20-sept,4
Milan noir,2023,20-sept,5
Milan noir,2022,21-sept,2
Milan noir,2021,22-sept,13
Milan noir,2022,22-sept,1
Milan noir,2021,23-sept,19
Milan noir,2023,23-sept,2
Milan noir,2021,24-sept,46
Milan noir,2023,24-sept,3
Milan noir,2021,25-sept,22
Milan noir,2023,25-sept,6
Milan noir,2023,26-sept,1
Milan noir,2021,26-sept,9
Milan noir,2022,26-sept,4
Milan noir,2023,27-sept,1
Milan noir,2023,29-sept,6
Milan noir,2023,30-sept,29
Milan noir,2021,30-sept,1
